#Position (bp)	insert size	chromosomes
9.18052385E7	591.6649890886945	0.0
9.21645545E7	518.4599525001802	39768.559129803034
9.25238705E7	378.73623087199417	0.0
9.28831865E7	419.86040766111375	0.0
9.32425025E7	607.2791466924978	39768.559129803034
9.36018185E7	752.3553958848505	0.0
9.39611345E7	554.1357004732776	0.0
9.43204505E7	498.1672328513969	39768.559129803034
9.46797665E7	462.4935556967641	0.0
9.50390825E7	1007.038645768494	0.0
9.53983985E7	785.3455654510391	39768.559129803034
9.57577145E7	484.4940065303618	0.0
9.61170305E7	628.5169820565549	0.0
9.64763465E7	858.0932923076923	39768.559129803034
9.68356625E7	694.2122491708673	0.0
9.71949785E7	652.5701500495087	0.0
9.75542945E7	576.5231235564773	39768.559129803034
9.79136105E7	731.6969782485999	0.0
9.82729265E7	731.0011894535122	0.0
9.86322425E7	997.9003212743884	39768.559129803034
9.89915585E7	748.3796259566358	0.0
9.93508745E7	468.96607921362175	0.0
9.97101905E7	592.6619136765471	39768.559129803034
1.000695065E8	602.4019916008621	0.0
1.004288225E8	413.0473635986311	0.0
1.007881385E8	453.11431192745573	39768.559129803034
1.011474545E8	538.5457977919693	0.0
1.015067705E8	483.6990337101907	0.0
1.018660865E8	361.1184188623213	39768.559129803034
1.022254025E8	626.7976643818228	0.0
1.025847185E8	452.28258151869187	0.0
1.029440345E8	485.2786476486675	39768.559129803034
1.033033505E8	1184.419265219034	0.0
1.036626665E8	791.4650546278234	0.0
1.040219825E8	472.2558379120879	39768.559129803034
1.043812985E8	520.9661012651809	0.0
1.047406145E8	414.9035845686457	0.0
1.050999305E8	1027.8557017744968	39768.559129803034
1.054592465E8	622.9330878931377	0.0
1.058185625E8	842.2005764684292	0.0
1.061778785E8	437.90782112127175	39768.559129803034
1.065371945E8	504.0623472367936	0.0
1.068965105E8	615.5903524063817	0.0
1.072558265E8	691.6005946059227	39768.559129803034
1.076151425E8	859.7707571084277	0.0
1.079744585E8	630.7600986532314	0.0
1.083337745E8	640.1260435151875	39768.559129803034
1.086930905E8	742.7343647136274	0.0
1.089314775E8	451.39665126355453	0.0
1.091111355E8	464.5295453040038	39768.559129803034
1.094117225E8	926.4227354645185	0.0
1.097710385E8	685.3840149692595	0.0
1.101303545E8	656.7514992282951	39768.559129803034
1.10324175E8	470.43700429860144	0.0
1.10503833E8	1480.0546865756407	0.0
1.108489865E8	426.2339505848107	39768.559129803034
1.112083025E8	551.9646055300352	0.0
1.115676185E8	609.1593075738153	0.0
1.119269345E8	437.94147833337024	39768.559129803034
1.122862505E8	498.59639695928354	0.0
1.126455665E8	510.6507716719309	0.0
1.130048825E8	887.1311004936839	39768.559129803034
1.133641985E8	952.5934844930936	0.0
1.137235145E8	692.6704371528942	0.0
1.140828305E8	870.3028910815668	39768.559129803034
1.144421465E8	839.162681451012	0.0
1.148014625E8	826.3863845884858	0.0
1.151607785E8	1031.4959704185717	39768.559129803034
1.155200945E8	500.50583091840724	0.0
1.158794105E8	474.20930712739124	0.0
1.162387265E8	494.35420924736195	39768.559129803034
1.165980425E8	527.4254184684386	0.0
1.169573585E8	612.8644073409948	0.0
1.173166745E8	546.8874579356177	39768.559129803034
1.176759905E8	573.9054766634782	0.0
1.180353065E8	529.4682655273975	0.0
1.183946225E8	538.4661488130398	39768.559129803034
1.187539385E8	663.0831576314191	0.0
1.191132545E8	1063.7422837112636	0.0
1.194725705E8	633.3385890347976	39768.559129803034
1.198318865E8	412.9348721410264	0.0
1.201912025E8	547.4514614391361	0.0
1.205505185E8	1358.364844210865	39768.559129803034
1.209098345E8	614.4807016690777	0.0
1.212691505E8	740.0694439047138	0.0
1.216284665E8	507.0330653526971	39768.559129803034
1.219877825E8	549.6315577714587	0.0
1.223470985E8	370.81336578930257	0.0
1.227064145E8	1261.1535384190922	39768.559129803034
1.230657305E8	1022.5283397844963	0.0
1.234250465E8	427.7147917980125	0.0
1.237843625E8	683.5514020458714	39768.559129803034
1.241436785E8	716.990975180293	0.0
1.245029945E8	724.9340439493606	0.0
1.248623105E8	1005.6299926035502	39768.559129803034
1.252216265E8	1867.3227628388804	0.0
1.255809425E8	438.64864389403505	0.0
1.259402585E8	406.64178384972587	39768.559129803034
1.262995745E8	516.5217693350614	0.0
1.266588905E8	567.4355949941133	0.0
1.270182065E8	467.1476356876985	39768.559129803034
1.273775225E8	1015.9774947759344	0.0
1.277368385E8	522.9846181304863	0.0
1.280961545E8	554.7368747116589	39768.559129803034
1.284554705E8	696.1977145028636	0.0
1.288147865E8	517.4075382803298	0.0
1.291741025E8	825.4866027205296	39768.559129803034
1.295334185E8	613.5844205763486	0.0
1.298927345E8	380.36794451747073	0.0
1.302520505E8	581.647610255734	39768.559129803034
1.306113665E8	595.2870614782016	0.0
1.309706825E8	622.6177985702271	0.0
1.313299985E8	940.0420622749125	39768.559129803034
1.316893145E8	891.1330056939566	0.0
1.320486305E8	843.3362040948977	0.0
1.324079465E8	2523.8758878504673	39768.559129803034
1.327672625E8	580.3658679784196	0.0
1.331265785E8	693.4917139361584	0.0
1.334858945E8	1136.9092908702253	39768.559129803034
1.337730805E8	1375.7215082764822	0.0
1.339527385E8	2295.1558694593277	0.0
1.342045265E8	25007.071275291233	39768.559129803034
1.345638425E8	39768.559129803034	0.0
1.349231585E8	14751.081552179952	0.0
1.352824745E8	4038.487314377039	39768.559129803034
1.356417905E8	2057.313384718002	0.0
1.360011065E8	10256.702532493635	0.0
1.363604225E8	5738.941118999544	39768.559129803034
1.367197385E8	13526.112796108291	0.0
1.370790545E8	3061.8218269212925	0.0
1.374033365E8	598.9430752106854	39768.559129803034
1.375577225E8	258.2319024177418	0.0
1.375927565E8	3384.1632496155817	0.0
1.376371405E8	393.61652173913046	39768.559129803034
1.37699935E8	549.8450549450549	0.0
1.37786751E8	309.44370419720184	0.0
1.37868371E8	1815.2246263034087	39768.559129803034
1.37942101E8	311.41983967935874	0.0
1.37980213E8	334.6102941176471	0.0
1.38019627E8	253.5311203319502	39768.559129803034
1.38089538E8	1105.0076687116564	0.0
1.38156123E8	2108.3004233852807	0.0
1.382206275E8	733.5611510791367	39768.559129803034
1.38280805E8	680.639175257732	0.0
1.38323179E8	5407.444444444444	0.0
1.383484915E8	0.0	39768.559129803034
1.38384028E8	1783.3069306930693	0.0
1.384312265E8	1405.8125	0.0
1.384772795E8	1012.96875	39768.559129803034
1.38522045E8	602.9974842767296	0.0
1.385663025E8	367.7302495992672	0.0
1.38610046E8	2271.6862745098038	39768.559129803034
1.38651258E8	954.6079545454545	0.0
1.386833775E8	453.59148936170214	0.0
1.387019305E8	562.08	39768.559129803034
1.38726341E8	0.0	0.0
1.387630385E8	771.7470817120623	0.0
1.3879854E8	836.7539787195344	39768.559129803034
1.3883298E8	413.3783783783784	0.0
1.388668195E8	1210.3636363636363	0.0
1.389001375E8	1542.9524815205914	39768.559129803034
1.389325255E8	294.6961683756071	0.0
1.38963047E8	778.5945945945946	0.0
1.38991991E8	507.3125	39768.559129803034
1.390198715E8	209.92307692307693	0.0
1.39044446E8	264.71645569620256	0.0
1.390581695E8	250.4	39768.559129803034
1.39074104E8	855.46875	0.0
1.391000815E8	269.58474576271186	0.0
1.39125904E8	2114.8727272727274	39768.559129803034
1.391516555E8	847.0805687203791	0.0
1.391772845E8	268.44400574300073	0.0
1.39202833E8	3237.762376237624	39768.559129803034
1.39227853E8	214.25	0.0
1.392522945E8	1563.7091454272863	0.0
1.392761035E8	0.0	39768.559129803034
1.392991635E8	1135.0	0.0
1.393219065E8	286.06976744186045	0.0
1.39344169E8	259.41951006124236	39768.559129803034
1.393656665E8	0.0	0.0
1.39386585E8	694.4547152194211	0.0
1.394057875E8	194.33333333333334	39768.559129803034
1.394157655E8	0.0	0.0
1.39426072E8	255.91304347826087	0.0
1.394433E8	210.14285714285714	39768.559129803034
1.394591395E8	258.375	0.0
1.39474609E8	0.0	0.0
1.394898515E8	202.0	39768.559129803034
1.39504877E8	268.1896551724138	0.0
1.39519712E8	236.08333333333334	0.0
1.39534307E8	0.0	39768.559129803034
1.39548658E8	269.72972972972974	0.0
1.395628065E8	268.1111111111111	0.0
1.395768695E8	257.1111111111111	39768.559129803034
1.395908865E8	0.0	0.0
1.396048595E8	279.46153846153845	0.0
1.39618797E8	329.0	39768.559129803034
1.396327175E8	231.7058823529412	0.0
1.39646447E8	245.66666666666666	0.0
1.39659998E8	256.7167487684729	39768.559129803034
1.39673523E8	0.0	0.0
1.39687001E8	264.6111111111111	0.0
