#Position (bp)	mapping quality
8.92900265E7	91.54199490985398
8.96493425E7	129.0665392876127
9.00086585E7	78.95678535257558
9.03679745E7	119.18354859735447
9.07272905E7	110.43097702172926
9.10866065E7	96.88652278126969
9.14459225E7	140.32124113298946
9.18052385E7	106.68017543248064
9.21645545E7	118.67017418561787
9.25238705E7	170.99409763490303
9.28831865E7	162.79793671495648
9.32425025E7	104.71265721219476
9.36018185E7	86.9770549462721
9.39611345E7	121.28447136434222
9.43204505E7	134.67719917944342
9.46797665E7	140.94598726932955
9.50390825E7	61.73419697851139
9.53983985E7	75.99798869239369
9.57577145E7	128.59870050008064
9.61170305E7	107.42884209676672
9.64763465E7	75.41594015610362
9.68356625E7	89.21288433424972
9.71949785E7	89.04477042784228
9.75542945E7	111.65854908047613
9.79136105E7	94.00868029016033
9.82729265E7	80.66262009642602
9.86322425E7	72.19083323376734
9.89915585E7	76.19000037666406
9.93508745E7	131.25619447535442
9.97101905E7	100.32995341896675
1.000695065E8	105.72312910370177
1.004288225E8	171.51890677769396
1.007881385E8	147.0954999424286
1.011474545E8	122.72698415665903
1.015067705E8	128.64225313242625
1.018660865E8	178.50196490737522
1.022254025E8	112.0602106262854
1.025847185E8	130.73455808022985
1.029440345E8	136.23543437043492
1.033033505E8	53.53004678359024
1.036626665E8	85.41482386788915
1.040219825E8	132.86420629887823
1.043812985E8	112.1251833205266
1.047406145E8	162.959683881761
1.050999305E8	146.38412068644556
1.054592465E8	110.78294107038889
1.058185625E8	89.40566391560934
1.061778785E8	164.82957674814125
1.065371945E8	133.2972363203676
1.068965105E8	102.20848936907095
1.072558265E8	97.729897872402
1.076151425E8	65.16303858151197
1.079744585E8	98.57751897790314
1.083337745E8	119.47986652122893
1.086930905E8	70.48856126605725
1.089314775E8	99.25326589315831
1.091111355E8	146.89055007515555
1.094117225E8	80.47261526980387
1.097710385E8	108.41413030716672
1.101303545E8	102.25010734320344
1.10324175E8	3.3514797726171963
1.10503833E8	61.23820134218177
1.108489865E8	139.89366429139432
1.112083025E8	107.51145197406402
1.115676185E8	106.46428369938103
1.119269345E8	155.78666516015306
1.122862505E8	127.47828775896168
1.126455665E8	135.82060186025157
1.130048825E8	69.86509775595556
1.133641985E8	52.28432076348127
1.137235145E8	70.19253994388552
1.140828305E8	63.52892198824741
1.144421465E8	61.20334993427597
1.148014625E8	80.46536763790235
1.151607785E8	61.41573783138897
1.155200945E8	114.24936113051521
1.158794105E8	132.5144145040903
1.162387265E8	129.69680419948406
1.165980425E8	115.87235322700917
1.169573585E8	106.02303759106597
1.173166745E8	117.78221756764171
1.176759905E8	112.71887104209678
1.180353065E8	113.76209621824978
1.183946225E8	134.63263788075537
1.187539385E8	96.27851242290548
1.191132545E8	55.619581092450204
1.194725705E8	93.83651399217955
1.198318865E8	160.97623702302502
1.201912025E8	134.5135829089895
1.205505185E8	62.30086347167795
1.209098345E8	85.35707190965276
1.212691505E8	86.98019978809609
1.216284665E8	129.64548860965434
1.219877825E8	120.54156622004045
1.223470985E8	168.6905580406218
1.227064145E8	51.777446832721864
1.230657305E8	64.43027806300589
1.234250465E8	138.33207534012806
1.237843625E8	94.80200022285406
1.241436785E8	82.15162700545896
1.245029945E8	87.58389949521785
1.248623105E8	59.41343142407773
1.252216265E8	37.922009289605825
1.255809425E8	157.40506028499038
1.259402585E8	171.30987449745982
1.262995745E8	141.48724879196624
1.266588905E8	104.52405428796658
1.270182065E8	138.4638408475721
1.273775225E8	70.26268775352638
1.277368385E8	104.9907596761927
1.280961545E8	113.15345712303085
1.284554705E8	88.28926571193537
1.288147865E8	129.19706954353333
