#Insert size (bp)	insert size
604.0	13284.0
605.0	12902.0
606.0	13316.0
607.0	12927.0
608.0	13255.0
609.0	12684.0
610.0	12830.0
611.0	12943.0
612.0	13050.0
613.0	12429.0
614.0	12454.0
615.0	12678.0
616.0	12616.0
617.0	12699.0
618.0	12558.0
619.0	12976.0
620.0	12518.0
621.0	13571.0
622.0	12785.0
623.0	12224.0
624.0	12326.0
625.0	12708.0
626.0	12412.0
627.0	11963.0
628.0	12396.0
629.0	12897.0
630.0	12528.0
631.0	11909.0
632.0	11750.0
633.0	11787.0
634.0	12060.0
635.0	12446.0
636.0	12203.0
637.0	11870.0
638.0	11826.0
639.0	11390.0
640.0	11710.0
641.0	11894.0
642.0	11531.0
643.0	11863.0
644.0	12151.0
645.0	11953.0
646.0	11821.0
647.0	11657.0
648.0	11913.0
649.0	11516.0
650.0	11918.0
651.0	11893.0
652.0	11509.0
653.0	11804.0
654.0	12084.0
655.0	11565.0
656.0	11809.0
657.0	11727.0
658.0	12044.0
659.0	12178.0
660.0	12201.0
661.0	11671.0
662.0	11647.0
663.0	11765.0
664.0	11751.0
665.0	11576.0
666.0	11911.0
667.0	11528.0
668.0	10974.0
669.0	11537.0
670.0	11610.0
671.0	11324.0
672.0	11924.0
673.0	11672.0
674.0	11097.0
675.0	11103.0
676.0	11959.0
677.0	10739.0
678.0	11365.0
679.0	10716.0
680.0	11080.0
681.0	10765.0
682.0	10984.0
683.0	11362.0
684.0	11723.0
685.0	11398.0
686.0	11105.0
687.0	10895.0
688.0	11147.0
689.0	11218.0
690.0	11246.0
691.0	10840.0
692.0	11055.0
693.0	10613.0
694.0	10869.0
695.0	10702.0
696.0	10347.0
697.0	10825.0
698.0	10473.0
699.0	10811.0
700.0	10532.0
701.0	10925.0
702.0	10371.0
703.0	10529.0
704.0	10763.0
705.0	10190.0
706.0	10719.0
707.0	10559.0
708.0	10264.0
709.0	9999.0
710.0	10166.0
711.0	10180.0
712.0	9651.0
713.0	9956.0
714.0	9982.0
715.0	9852.0
716.0	9566.0
717.0	9802.0
718.0	10046.0
719.0	9657.0
720.0	10176.0
721.0	9103.0
722.0	9479.0
723.0	9704.0
724.0	9406.0
725.0	9654.0
726.0	9145.0
727.0	9442.0
728.0	9327.0
729.0	9467.0
730.0	9801.0
731.0	9155.0
732.0	9605.0
733.0	9676.0
734.0	9741.0
735.0	9501.0
736.0	9880.0
737.0	9132.0
738.0	9635.0
739.0	9744.0
740.0	9883.0
