Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
HSF4_2H_2_1.sub	(25, 1.0)	(30, 1715.0)	(35, 2168.0)	(40, 3441.0)	(45, 4255.0)	(50, 4403.0)	(55, 4456.0)	(60, 4535.0)	(65, 4734.0)	(70, 5060.0)	(75, 5786.0)	(80, 6632.0)	(85, 8295.0)	(90, 10549.0)	(95, 13266.0)	(100, 16547.0)	(105, 21258.0)	(110, 26383.0)	(115, 32685.0)	(120, 40504.0)	(125, 51772.0)	(130, 66332.0)	(135, 86758.0)	(140, 132102.0)	(145, 159524.0)	(150, 49284185.0)
HSF4_2H_2_2	(25, 13.0)	(30, 21.0)	(35, 1124.0)	(40, 5656.0)	(45, 5739.0)	(50, 5653.0)	(55, 5401.0)	(60, 5871.0)	(65, 6281.0)	(70, 7700.0)	(75, 8925.0)	(80, 11639.0)	(85, 14580.0)	(90, 18232.0)	(95, 23408.0)	(100, 29904.0)	(105, 36828.0)	(110, 46518.0)	(115, 59060.0)	(120, 77338.0)	(125, 105182.0)	(130, 156904.0)	(135, 266458.0)	(140, 58420274.0)		
HSF4_2H_2_2.sub	(25, 6.0)	(30, 1718.0)	(35, 2173.0)	(40, 3455.0)	(45, 4260.0)	(50, 4403.0)	(55, 4480.0)	(60, 4556.0)	(65, 4759.0)	(70, 5100.0)	(75, 5843.0)	(80, 6702.0)	(85, 8433.0)	(90, 10726.0)	(95, 13478.0)	(100, 16909.0)	(105, 21778.0)	(110, 27175.0)	(115, 33962.0)	(120, 42728.0)	(125, 55505.0)	(130, 73219.0)	(135, 102090.0)	(140, 168540.0)	(145, 189416.0)	(150, 49185932.0)
HSF4_2H_2_ZKRN250030472-1A_23F5KYLT4_L8_1	(150, 59543753.0)																									
HSF4_2H_2_ZKRN250030472-1A_23F5KYLT4_L8_2	(150, 59543753.0)																									
HSF4_2H_3_1	(25, 3.0)	(30, 8.0)	(35, 1177.0)	(40, 6004.0)	(45, 5960.0)	(50, 5859.0)	(55, 5963.0)	(60, 6198.0)	(65, 6617.0)	(70, 7931.0)	(75, 9600.0)	(80, 11618.0)	(85, 14846.0)	(90, 18611.0)	(95, 24297.0)	(100, 30758.0)	(105, 38024.0)	(110, 47762.0)	(115, 60089.0)	(120, 76793.0)	(125, 98811.0)	(130, 134482.0)	(135, 217867.0)	(140, 55780061.0)		
HSF4_2H_3_1.sub	(25, 1.0)	(30, 1212.0)	(35, 1597.0)	(40, 3290.0)	(45, 4561.0)	(50, 4959.0)	(55, 4813.0)	(60, 5209.0)	(65, 5266.0)	(70, 5726.0)	(75, 6422.0)	(80, 7382.0)	(85, 8960.0)	(90, 11421.0)	(95, 14321.0)	(100, 18357.0)	(105, 23256.0)	(110, 29762.0)	(115, 36346.0)	(120, 46031.0)	(125, 58175.0)	(130, 74326.0)	(135, 97075.0)	(140, 145216.0)	(145, 173761.0)	(150, 49209003.0)
HSF4_2H_3_2	(25, 11.0)	(30, 16.0)	(35, 1177.0)	(40, 6003.0)	(45, 5968.0)	(50, 5877.0)	(55, 5985.0)	(60, 6217.0)	(65, 6660.0)	(70, 7948.0)	(75, 9705.0)	(80, 11755.0)	(85, 15018.0)	(90, 18899.0)	(95, 24657.0)	(100, 31341.0)	(105, 38914.0)	(110, 49091.0)	(115, 62494.0)	(120, 81498.0)	(125, 109016.0)	(130, 158809.0)	(135, 267003.0)	(140, 55685277.0)		
HSF4_2H_3_2.sub	(25, 5.0)	(30, 1219.0)	(35, 1598.0)	(40, 3307.0)	(45, 4561.0)	(50, 4956.0)	(55, 4829.0)	(60, 5230.0)	(65, 5276.0)	(70, 5752.0)	(75, 6455.0)	(80, 7427.0)	(85, 9074.0)	(90, 11574.0)	(95, 14491.0)	(100, 18694.0)	(105, 23638.0)	(110, 30406.0)	(115, 37282.0)	(120, 47611.0)	(125, 61112.0)	(130, 80302.0)	(135, 110214.0)	(140, 177469.0)	(145, 201467.0)	(150, 49122499.0)
HSF4_2H_3_ZKRN250030473-1A_23F5KYLT4_L8_1	(150, 56821565.0)																									
