Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
HSF4_4H_2_1	(1.0, 14.315826854032151)	(2.0, 9.765805759228098)	(3.0, 6.9075516015739025)	(4.0, 5.011404449691962)	(5.0, 3.7298585386532803)	(6.0, 2.9534113667185955)	(7.0, 2.363323785741409)	(8.0, 2.1097890323555624)	(9.0, 1.7399555893737337)	('>10', 18.593639187723767)	('>50', 6.022074320320669)	('>100', 11.589472115285728)	('>500', 3.528041877248702)	('>1k', 5.733434443857548)	('>5k', 1.8990379311801486)	('>10k+', 3.7373731470145195)
HSF4_4H_2_2	(1.0, 14.415626242852719)	(2.0, 9.63911752140627)	(3.0, 6.870428918969633)	(4.0, 4.970540237009109)	(5.0, 3.801675256209922)	(6.0, 3.029106363782553)	(7.0, 2.389245392763212)	(8.0, 2.022522174587757)	(9.0, 1.6888329655502285)	('>10', 18.638332224732462)	('>50', 5.952345476134778)	('>100', 11.59983484454392)	('>500', 3.4374317390564215)	('>1k', 5.752398786795494)	('>5k', 1.8725129937408467)	('>10k+', 3.9200488618644926)
HSF4_4H_2_ZKRN250030475-1A_23F5KYLT4_L7_1	(1.0, 16.123370052316677)	(2.0, 10.212189381477916)	(3.0, 6.97438190510391)	(4.0, 4.897997494943697)	(5.0, 3.6753059684893654)	(6.0, 2.856545638600815)	(7.0, 2.2974554179864457)	(8.0, 2.0118118480117575)	(9.0, 1.6545213016004547)	('>10', 17.823596398310524)	('>50', 5.825237128274139)	('>100', 11.091495251308862)	('>500', 3.335578015113488)	('>1k', 5.545353117322646)	('>5k', 1.784395390286202)	('>10k+', 3.8907656908529082)
HSF4_4H_2_ZKRN250030475-1A_23F5KYLT4_L7_2	(1.0, 16.2788202514015)	(2.0, 10.112681387801016)	(3.0, 6.955317422759663)	(4.0, 4.833890690216228)	(5.0, 3.6987645691606437)	(6.0, 2.9113135262405594)	(7.0, 2.3092939415915)	(8.0, 1.911314062724048)	(9.0, 1.6387226173523288)	('>10', 17.998949855644575)	('>50', 5.724627056260113)	('>100', 11.01081691674799)	('>500', 3.274652910022201)	('>1k', 5.598346585317414)	('>5k', 1.8596587381409524)	('>10k+', 3.8828294686193274)
HSF4_4H_3_1	(1.0, 14.775523792209217)	(2.0, 9.736031766877804)	(3.0, 7.22969686123895)	(4.0, 5.38935696505199)	(5.0, 3.9952078579814225)	(6.0, 3.2502984640289507)	(7.0, 2.694548593852946)	(8.0, 2.2321549050161362)	(9.0, 1.7863404392275795)	('>10', 19.813162645147525)	('>50', 6.289880513399777)	('>100', 11.963956790791036)	('>500', 3.272135103555275)	('>1k', 4.462848530973932)	('>5k', 1.1075495587715385)	('>10k+', 2.0013072118761452)
HSF4_4H_3_2	(1.0, 14.587964697901779)	(2.0, 9.88487338598266)	(3.0, 7.195208345201269)	(4.0, 5.452827168530532)	(5.0, 4.0479932618783545)	(6.0, 3.2087090138511)	(7.0, 2.6924026895351583)	(8.0, 2.17215699904935)	(9.0, 1.8666849633091578)	('>10', 19.756158901923428)	('>50', 6.122184690971999)	('>100', 12.05519283354835)	('>500', 3.314937052545644)	('>1k', 4.391614157904333)	('>5k', 1.0812751507805312)	('>10k+', 2.169816687086489)
HSF4_4H_3_ZKRN250030476-1A_23F5KYLT4_L7_1	(1.0, 16.05663504100636)	(2.0, 10.069142311754772)	(3.0, 7.253807731899005)	(4.0, 5.378793840476289)	(5.0, 3.9512511334426472)	(6.0, 3.1473512947065627)	(7.0, 2.596011502869688)	(8.0, 2.1667428602509027)	(9.0, 1.735524700350477)	('>10', 19.297119360728573)	('>50', 6.109344491872608)	('>100', 11.600766247427968)	('>500', 3.1111853294564322)	('>1k', 4.37835142952361)	('>5k', 1.0619682952625016)	('>10k+', 2.0860044289715813)
HSF4_4H_3_ZKRN250030476-1A_23F5KYLT4_L7_2	(1.0, 15.932287478576946)	(2.0, 10.172436329918526)	(3.0, 7.238306325862063)	(4.0, 5.434306351790605)	(5.0, 3.9494485360287226)	(6.0, 3.1885841021482424)	(7.0, 2.638556780335508)	(8.0, 2.093383384925421)	(9.0, 1.8054170447318652)	('>10', 19.20823911597233)	('>50', 5.940222270261812)	('>100', 11.637507396703386)	('>500', 3.1891461417095)	('>1k', 4.351778001054143)	('>5k', 1.0901740482195967)	('>10k+', 2.1302066917614644)
HSF4_6H_1_1	(1.0, 13.124540779027619)	(2.0, 9.077014825525206)	(3.0, 6.583268069765466)	(4.0, 4.7187454208628274)	(5.0, 3.698858126267416)	(6.0, 3.1139241637304544)	(7.0, 2.365003895047132)	(8.0, 2.0690327023413286)	(9.0, 1.7799787969693657)	('>10', 19.45340560463116)	('>50', 6.385238922921792)	('>100', 13.47477531867661)	('>500', 3.7981272710042537)	('>1k', 5.386652186332668)	('>5k', 1.5764897671344522)	('>10k+', 3.394944149762227)
HSF4_6H_1_2	(1.0, 13.133864996402409)	(2.0, 9.011832600618146)	(3.0, 6.435708825313542)	(4.0, 4.881230627442323)	(5.0, 3.7959927478091253)	(6.0, 3.0332003511966876)	(7.0, 2.4342496130055324)	(8.0, 2.0900137116746005)	(9.0, 1.7286983992363318)	('>10', 19.549264144994112)	('>50', 6.290346505324938)	('>100', 13.419228856849081)	('>500', 3.8210117922738887)	('>1k', 5.310811082264375)	('>5k', 1.445234719542445)	('>10k+', 3.619311026052347)
