Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
HSF4_4H_1_2	(18.0, 1038.0)	(19.0, 5313.0)	(20.0, 12819.0)	(21.0, 20738.0)	(22.0, 27472.0)	(23.0, 34194.0)	(24.0, 40066.0)	(25.0, 46420.0)	(26.0, 53874.0)	(27.0, 60208.0)	(28.0, 69191.0)	(29.0, 80437.0)	(30.0, 93205.0)	(31.0, 110730.0)	(32.0, 134527.0)	(33.0, 168872.0)	(34.0, 221494.0)	(35.0, 319829.0)	(36.0, 532345.0)	(37.0, 1059450.0)	(38.0, 3277936.0)	(39.0, 36266008.0)	(40.0, 9924207.0)									
HSF4_4H_1_ZKRN250030474-1A_23F5KYLT4_L7_1	(12.0, 1.0)	(13.0, 92.0)	(14.0, 577.0)	(15.0, 1757.0)	(16.0, 2916.0)	(17.0, 4700.0)	(18.0, 7539.0)	(19.0, 10721.0)	(20.0, 14286.0)	(21.0, 17067.0)	(22.0, 20591.0)	(23.0, 25324.0)	(24.0, 30854.0)	(25.0, 38672.0)	(26.0, 47267.0)	(27.0, 55207.0)	(28.0, 67623.0)	(29.0, 76386.0)	(30.0, 93512.0)	(31.0, 107958.0)	(32.0, 131903.0)	(33.0, 168607.0)	(34.0, 212813.0)	(35.0, 325582.0)	(36.0, 500836.0)	(37.0, 1001367.0)	(38.0, 2370444.0)	(39.0, 35404441.0)	(40.0, 12007311.0)			
HSF4_4H_1_ZKRN250030474-1A_23F5KYLT4_L7_2	(10.0, 2.0)	(11.0, 32.0)	(12.0, 358.0)	(13.0, 2602.0)	(14.0, 10118.0)	(15.0, 19313.0)	(16.0, 23731.0)	(17.0, 23267.0)	(18.0, 22824.0)	(19.0, 23972.0)	(20.0, 26958.0)	(21.0, 29222.0)	(22.0, 32961.0)	(23.0, 38240.0)	(24.0, 42698.0)	(25.0, 50522.0)	(26.0, 56894.0)	(27.0, 64275.0)	(28.0, 74930.0)	(29.0, 83628.0)	(30.0, 100872.0)	(31.0, 114312.0)	(32.0, 143218.0)	(33.0, 175535.0)	(34.0, 230771.0)	(35.0, 338003.0)	(36.0, 534293.0)	(37.0, 1110007.0)	(38.0, 3074487.0)	(39.0, 36798085.0)	(40.0, 9500224.0)	
HSF4_4H_2_1	(18.0, 112.0)	(19.0, 1381.0)	(20.0, 5124.0)	(21.0, 9701.0)	(22.0, 14102.0)	(23.0, 18818.0)	(24.0, 25061.0)	(25.0, 32023.0)	(26.0, 39842.0)	(27.0, 48431.0)	(28.0, 58675.0)	(29.0, 69263.0)	(30.0, 82240.0)	(31.0, 99440.0)	(32.0, 121825.0)	(33.0, 152704.0)	(34.0, 203603.0)	(35.0, 297536.0)	(36.0, 496386.0)	(37.0, 945413.0)	(38.0, 2540303.0)	(39.0, 35014610.0)	(40.0, 11190044.0)									
HSF4_4H_2_2	(18.0, 1036.0)	(19.0, 5553.0)	(20.0, 13576.0)	(21.0, 21675.0)	(22.0, 29153.0)	(23.0, 35746.0)	(24.0, 42203.0)	(25.0, 48695.0)	(26.0, 56146.0)	(27.0, 62936.0)	(28.0, 72365.0)	(29.0, 83672.0)	(30.0, 97348.0)	(31.0, 116339.0)	(32.0, 140879.0)	(33.0, 176805.0)	(34.0, 232329.0)	(35.0, 335471.0)	(36.0, 557530.0)	(37.0, 1114987.0)	(38.0, 3527641.0)	(39.0, 36119741.0)	(40.0, 8574811.0)									
HSF4_4H_2_ZKRN250030475-1A_23F5KYLT4_L7_1	(12.0, 8.0)	(13.0, 79.0)	(14.0, 598.0)	(15.0, 1806.0)	(16.0, 3258.0)	(17.0, 5477.0)	(18.0, 8430.0)	(19.0, 11674.0)	(20.0, 15085.0)	(21.0, 17778.0)	(22.0, 21114.0)	(23.0, 25569.0)	(24.0, 30928.0)	(25.0, 38624.0)	(26.0, 46779.0)	(27.0, 54892.0)	(28.0, 67784.0)	(29.0, 75826.0)	(30.0, 92778.0)	(31.0, 108108.0)	(32.0, 133171.0)	(33.0, 168646.0)	(34.0, 216791.0)	(35.0, 330973.0)	(36.0, 510075.0)	(37.0, 1023647.0)	(38.0, 2483274.0)	(39.0, 35972131.0)	(40.0, 10326504.0)			
HSF4_4H_2_ZKRN250030475-1A_23F5KYLT4_L7_2	(10.0, 1.0)	(11.0, 34.0)	(12.0, 446.0)	(13.0, 3145.0)	(14.0, 12185.0)	(15.0, 23130.0)	(16.0, 28255.0)	(17.0, 27486.0)	(18.0, 26201.0)	(19.0, 27132.0)	(20.0, 29235.0)	(21.0, 31551.0)	(22.0, 35321.0)	(23.0, 40328.0)	(24.0, 45318.0)	(25.0, 53698.0)	(26.0, 60069.0)	(27.0, 68480.0)	(28.0, 79303.0)	(29.0, 88450.0)	(30.0, 107583.0)	(31.0, 121529.0)	(32.0, 153214.0)	(33.0, 186941.0)	(34.0, 244839.0)	(35.0, 357679.0)	(36.0, 566170.0)	(37.0, 1173824.0)	(38.0, 3307781.0)	(39.0, 36809497.0)	(40.0, 8082982.0)	
HSF4_4H_3_1	(18.0, 84.0)	(19.0, 1509.0)	(20.0, 5375.0)	(21.0, 9955.0)	(22.0, 13987.0)	(23.0, 18964.0)	(24.0, 24828.0)	(25.0, 31584.0)	(26.0, 40008.0)	(27.0, 48631.0)	(28.0, 58139.0)	(29.0, 68930.0)	(30.0, 82046.0)	(31.0, 97899.0)	(32.0, 120557.0)	(33.0, 151839.0)	(34.0, 201428.0)	(35.0, 293055.0)	(36.0, 487157.0)	(37.0, 925656.0)	(38.0, 2488550.0)	(39.0, 34738393.0)	(40.0, 11494828.0)									
HSF4_4H_3_2	(18.0, 1093.0)	(19.0, 5659.0)	(20.0, 13135.0)	(21.0, 21130.0)	(22.0, 28182.0)	(23.0, 34469.0)	(24.0, 40545.0)	(25.0, 47483.0)	(26.0, 54390.0)	(27.0, 61181.0)	(28.0, 69976.0)	(29.0, 80355.0)	(30.0, 93623.0)	(31.0, 111651.0)	(32.0, 134699.0)	(33.0, 168082.0)	(34.0, 220441.0)	(35.0, 315008.0)	(36.0, 523496.0)	(37.0, 1041898.0)	(38.0, 3253977.0)	(39.0, 35721535.0)	(40.0, 9361394.0)									
HSF4_4H_3_ZKRN250030476-1A_23F5KYLT4_L7_1	(12.0, 5.0)	(13.0, 84.0)	(14.0, 643.0)	(15.0, 1704.0)	(16.0, 2795.0)	(17.0, 4636.0)	(18.0, 7161.0)	(19.0, 10292.0)	(20.0, 13647.0)	(21.0, 16592.0)	(22.0, 19770.0)	(23.0, 24576.0)	(24.0, 29544.0)	(25.0, 37169.0)	(26.0, 45761.0)	(27.0, 53959.0)	(28.0, 66434.0)	(29.0, 73748.0)	(30.0, 90844.0)	(31.0, 105302.0)	(32.0, 128685.0)	(33.0, 165016.0)	(34.0, 210221.0)	(35.0, 321654.0)	(36.0, 495746.0)	(37.0, 996441.0)	(38.0, 2421741.0)	(39.0, 35682601.0)	(40.0, 10631032.0)			
HSF4_4H_3_ZKRN250030476-1A_23F5KYLT4_L7_2	(10.0, 4.0)	(11.0, 38.0)	(12.0, 473.0)	(13.0, 3004.0)	(14.0, 10964.0)	(15.0, 20088.0)	(16.0, 24341.0)	(17.0, 24467.0)	(18.0, 23777.0)	(19.0, 25013.0)	(20.0, 27394.0)	(21.0, 30131.0)	(22.0, 33699.0)	(23.0, 38433.0)	(24.0, 43390.0)	(25.0, 51581.0)	(26.0, 58044.0)	(27.0, 65964.0)	(28.0, 75666.0)	(29.0, 84658.0)	(30.0, 101695.0)	(31.0, 116122.0)	(32.0, 144699.0)	(33.0, 176337.0)	(34.0, 229990.0)	(35.0, 334338.0)	(36.0, 526856.0)	(37.0, 1092797.0)	(38.0, 3053223.0)	(39.0, 36301983.0)	(40.0, 8938634.0)	
HSF4_6H_1_1	(18.0, 98.0)	(19.0, 1185.0)	(20.0, 4614.0)	(21.0, 8814.0)	(22.0, 12556.0)	(23.0, 17182.0)	(24.0, 23005.0)	(25.0, 29621.0)	(26.0, 37001.0)	(27.0, 45360.0)	(28.0, 54509.0)	(29.0, 65778.0)	(30.0, 78466.0)	(31.0, 95296.0)	(32.0, 116469.0)	(33.0, 147307.0)	(34.0, 197855.0)	(35.0, 291405.0)	(36.0, 493284.0)	(37.0, 949791.0)	(38.0, 2709587.0)	(39.0, 35969896.0)	(40.0, 9317836.0)									
HSF4_6H_1_2	(18.0, 1042.0)	(19.0, 5230.0)	(20.0, 12785.0)	(21.0, 21291.0)	(22.0, 27952.0)	(23.0, 34196.0)	(24.0, 40534.0)	(25.0, 47555.0)	(26.0, 54354.0)	(27.0, 61004.0)	(28.0, 70191.0)	(29.0, 80815.0)	(30.0, 94360.0)	(31.0, 112576.0)	(32.0, 136837.0)	(33.0, 171754.0)	(34.0, 226709.0)	(35.0, 326494.0)	(36.0, 548980.0)	(37.0, 1115758.0)	(38.0, 3710404.0)	(39.0, 36442957.0)	(40.0, 7323137.0)									
HSF4_6H_1_ZKRN250030477-1A_23F5KYLT4_L7_1	(12.0, 1.0)	(13.0, 67.0)	(14.0, 486.0)	(15.0, 1514.0)	(16.0, 2503.0)	(17.0, 4108.0)	(18.0, 6433.0)	(19.0, 9465.0)	(20.0, 12520.0)	(21.0, 15394.0)	(22.0, 18280.0)	(23.0, 22785.0)	(24.0, 27458.0)	(25.0, 35327.0)	(26.0, 42871.0)	(27.0, 50635.0)	(28.0, 62121.0)	(29.0, 70722.0)	(30.0, 86705.0)	(31.0, 102118.0)	(32.0, 125442.0)	(33.0, 160989.0)	(34.0, 208243.0)	(35.0, 321785.0)	(36.0, 504106.0)	(37.0, 1026018.0)	(38.0, 2637382.0)	(39.0, 36850903.0)	(40.0, 8535518.0)			
